ก.	k @@ 
บกพร่อง	b o k^ phr @@ ng^ 
บงการ	b o ng^ k aa n^ 
บท	b o t^ 
บทความ	b o t^ khw aa m^ 
บทบัญญัติ	b o t^ b a n^ j a t^ 
บทบาท	b o t^ b aa t^ 
บทเรียน	b o t^ r iia n^ 
บน	b o n^ 
บรมครู	b @@ r o m^ m a khr uu 
บรมวงศ์เธอ	b @@ r o m^ m a w o ng^ th qq 
บรรจบ	b a n^ c o p^ 
บรรจุ	b a n^ c u 
บรรดา	b a n^ d aa 
บรรทัด	b a n^ th a t^ 
บรรพชน	b a n^ ph a ch o n^ 
บรรพบุรุษ	b a n^ ph a b u r u t^ 
บรรยากาศ	b a n^ j aa k aa t^ 
บรรยาย	b a n^ j aa j^ 
บรรลุ	b a n^ l u 
บรรษัท	b a n^ s a t^ 
บรรเทา	b a n^ th a w^ 
บรรเลง	b a n^ l ee ng^ 
บริการ	b @@ r i k aa n^ 
บริจาค	b @@ r i c aa k^ 
บริบท	b @@ r i b o t^ 
บริบูรณ์	b @@ r i b uu n^ 
บริวาร	b @@ r i w aa n^ 
บริษัท	b @@ r i s a t^ 
บริสุทธิ์	b @@ r i s u t^ 
บริหาร	b @@ r i h aa n^ 
บริหาร	b @@ r i h aa n^ 
บริเวณ	b @@ r i w ee n^ 
บริโภค	b @@ r i ph oo k^ 
บริโภค	b @@ r i ph oo k^ 
บล็อค	bl @ k^ 
บวก	b uua k^ 
บวช	b uua t^ 
บวรนิเวศน์	b @@ w @@ n^ n i w ee t^ 
บวรศักดิ์	b a w @@ n^ s a k^ 
บอก	b @@ k^ 
บอกเล่า	b @@ k^ l a w^ 
บอกใบ้	b @@ k^ b a j^ 
บอด	b @@ t^ 
บอริส	b @@ r i s^ 
บอริส	b @@ r i t^ 
บัคเตรี	b a k^ t ee r ii 
บังคับ	b a ng^ kh a p^ 
บังคับการ	b a ng^ kh a p^ k aa n^ 
บังคับบัญชา	b a ng^ kh a p^ b a n^ ch aa 
บังอาจ	b a ng^ z aa t^ 
บังเกิด	b a ng^ k qq t^ 
บังเอิญ	b a ng^ z qq n^ 
บัญชร	b a n^ ch @@ n^ 
บัญชาการ	b a n^ ch aa k aa n^ 
บัญชี	b a n^ ch ii 
บัญชีเดินสะพัด	b a n^ ch ii d qq n^ s a ph a t^ 
บัญญัติ	b a n^ j a t^ 
บัญญัติ	b a n^ j a t^ 
บัณฑิต	b a n^ d i t^ 
บัดนั้น	b a t^ n a n^ 
บัดนี้	b a t^ n ii 
บัตร	b a t^ 
บันดาล	b a n^ d aa n^ 
บันทึก	b a n^ th v k^ 
บันเทิง	b a n^ th qq ng^ 
บันได	b a n^ d a j^ 
บัว	b uua 
บัวหลวง	b uua l uua ng^ 
บั้นปลาย	b a n^ pl aa j^ 
บาง	b aa ng^ 
บางที	b aa ng^ th ii 
บาดเจ็บ	b aa t^ c e p^ 
บาท	b aa t^ 
บาป	b aa p^ 
บารมี	b aa r a m ii 
บาลี	b aa l ii 
บาหลี	b aa l ii 
บำบัด	b a m^ b a t^ 
บำรุง	b a m^ r u ng^ 
บำเพ็ญ	b a m^ ph e n^ 
บำเหน็จ	b a m^ n e t^ 
บิณฑบาต	b i n^ th a b aa t^ 
บิดา	b i d aa 
บิดเบือน	b i t^ b vva n^ 
บิน	b i n^ 
บีบ	b ii p^ 
บีบคั้น	b ii p^ kh a n^ 
บีบบังคับ	b ii p^ b a ng^ kh a p^ 
บึง	b v ng^ 
บุก	b u k^ 
บุกรุก	b u k^ r u k^ 
บุกเบิก	b u k^ b qq k^ 
บุคคล	b u k^ kh o n^ 
บุคลากร	b u k^ kh a l aa k @@ n^ 
บุคลิก	b u k^ kh a l i k^ 
บุคลิกภาพ	b u k^ kh a l i k^ k a ph aa p^ 
บุคลิกลักษณะ	b u k^ kh a l i k^ l a k^ s a n a 
บุช	b u ch^ 
บุญ	b u n^ 
บุญชู	b u n^ ch uu 
บุตร	b u t^ 
บุตรศรี	b u t^ s ii 
บุพกาล	b u p^ ph a k aa n^ 
บุรุษ	b u r u t^ 
บุหรี่	b u r ii 
บูชา	b uu ch aa 
บูรณปกรณ์	b uu r a n a p a k @@ n^ 
บูรณภาพ	b uu r a n a ph aa p^ 
บูรณะ	b uu r a n a 
บูรณาการ	b uu r a n aa k aa n^ 
บ่	b @@ 
บ่ง	b o ng^ 
บ่งชี้	b o ng^ ch ii 
บ่งถึง	b o ng^ th v ng^ 
บ่งบอก	b o ng^ b @@ k^ 
บ่น	b o n^ 
บ่นว่า	b o n^ w aa 
บ่อ	b @@ 
บ่อย	b @@ j^ 
บ่อยครั้ง	b @@ j^ khr a ng^ 
บ่อเกิด	b @@ k qq t^ 
บ่าย	b aa j^ 
บ้า	b aa 
บ้าง	b aa ng^ 
บ้าน	b aa n^ 
บ้านเชียง	b aa n^ ch iia ng^ 
บ้านเมือง	b aa n^ m vva ng^ 
ป.	p @@ 
ปก	p o k^ 
ปกครอง	p o k^ khr @@ ng^ 
ปกติ	p a k a t i 
ปกติ	p o k^ k a t i 
ปกป้อง	p o k^ p @ ng^ 
ปฏิกิริยา	p a t i k i r i j aa 
ปฏิชีวนะ	p a t i ch ii w a n a 
ปฏิญาณ	p a t i j aa n^ 
ปฏิทิน	p a t i th i n^ 
ปฏิบัติ	p a t i b a t^ 
ปฏิบัติการ	p a t i b a t^ k aa n^ 
ปฏิบัติงาน	p a t i b a t^ ng aa n^ 
ปฏิบัติธรรม	p a t i b a t^ th a m^ 
ปฏิปักษ์	p a t i p a k^ 
ปฏิรูป	p a t i r uu p^ 
ปฏิวัติ	p a t i w a t^ 
ปฏิสัมพันธ์	p a t i s a m^ ph a n^ 
ปฏิเสธ	p a t i s ee t^ 
ปฐมภูมิ	p a th o m^ ph uu m^ 
ปน	p o n^ 
ปมด้อย	p o m^ d @ j^ 
ปรก	pr o k^ 
ปรกติ	pr o k^ k a t i 
ปรปักษ์	p @@ r a p a k^ 
ปรมาจารย์	p @@ r a m aa c aa n^ 
ปรองดอง	pr @@ ng^ d @@ ng^ 
ประกอบ	pr a k @@ p^ 
ประกอบการ	pr a k @@ p^ k aa n^ 
ประกัน	pr a k a n^ 
ประการ	pr a k aa n^ 
ประกาศ	pr a k aa t^ 
ประคับประคอง	pr a kh a p^ pr a kh @@ ng^ 
ประจวบเหมาะ	pr a c uua p^ m @ 
ประจักษ์	pr a c a k^ 
ประจักษ์แจ้ง	pr a c a k^ c xx ng^ 
ประจำ	pr a c a m^ 
ประจำการ	pr a c a m^ k aa n^ 
ประจำตัว	pr a c a m^ t uua 
ประจำปี	pr a c a m^ p ii 
ประจำวัน	pr a c a m^ w a n^ 
ประชวร	pr a ch uua n^ 
ประชา	pr a ch aa 
ประชากร	pr a ch aa k @@ n^ 
ประชาคม	pr a ch aa kh o m^ 
ประชาชน	pr a ch aa ch o n^ 
ประชาชาติ	pr a ch aa ch aa t^ 
ประชาธิปัตย์	pr a ch aa th i p a t^ 
ประชาธิปไตย	pr a ch aa th i p^ p a t a j^ 
ประชาราษฎร์	pr a ch aa r aa t^ 
ประชาสัมพันธ์	pr a ch aa s a m^ ph a n^ 
ประชุม	pr a ch u m^ 
ประณาม	pr a n aa m^ 
ประณีต	pr a n ii t^ 
ประดับ	pr a d a p^ 
ประดิษฐ์	pr a d i t^ 
ประติมากร	pr a t i m aa k @@ n^ 
ประติมากรรม	pr a t i m aa k a m^ 
ประตู	pr a t uu 
ประถม	pr a th o m^ 
ประถมศึกษา	pr a th o m^ s v k^ s aa 
ประทับ	pr a th a p^ 
ประทับใจ	pr a th a p^ c a j^ 
ประทาน	pr a th aa n^ 
ประทุษร้าย	pr a th u t^ s a r aa j^ 
ประท้วง	pr a th uua ng^ 
ประธาน	pr a th aa n^ 
ประธานาธิบดี	pr a th aa n aa th i p^ b @@ d ii 
ประธานาธิบดี	pr a th aa n aa th i p^ b @@0 d ii 
ประธานาธิบดี	pr a th aa n aa th i b @@ d ii 
ประนีประนอม	pr a n ii pr a n @@ m^ 
ประปา	pr a p aa 
ประพฤติ	pr a phr v t^ 
ประพันธ์	pr a ph a n^ 
ประพาส	pr a ph aa t^ 
ประมง	pr a m o ng^ 
ประมวล	pr a m uua n^ 
ประมวลผล	pr a m uua n^ ph o n^ 
ประมาณ	pr a m aa n^ 
ประมาท	pr a m aa t^ 
ประมุข	pr a m u k^ 
ประมุข	pr a m u k^ 
ประมูล	pr a m uu n^ 
ประยุกต์	pr a j u k^ 
ประยุกต์	pr a j u k^ 
ประวัติ	pr a w a t^ 
ประวัติการณ์	pr a w a t^ k aa n^ 
ประวัติศาสตร์	pr a w a t^ s aa t^ 
ประสงค์	pr a s o ng^ 
ประสบ	pr a s o p^ 
ประสบการณ์	pr a s o p^ k aa n^ 
ประสม	pr a s o m^ 
ประสาท	pr a s aa t^ 
ประสาน	pr a s aa n^ 
ประสิทธิผล	pr a s i t^ th i ph o n^ 
ประสิทธิภาพ	pr a s i t^ th i ph aa p^ 
ประหยัด	pr a j a t^ 
ประหลาด	pr a l aa t^ 
ประหัตประหาร	pr a h a t^ pr a h aa n^ 
ประเด็น	pr a d e n^ 
ประเทศ	pr a th ee t^ 
ประเทศราช	pr a th ee t^ s a r aa t^ 
ประเพณี	pr a ph ee n ii 
ประเภท	pr a ph ee t^ 
ประเมิน	pr a m qq n^ 
ประเสริฐ	pr a s qq t^ 
ประโยค	pr a j oo k^ 
ประโยชน์	pr a j oo t^ 
ปรัชญา	pr a t^ j aa 
ปรับ	pr a p^ 
ปรับปรุง	pr a p^ pr u ng^ 
ปรากฏ	pr aa k o t^ 
ปรากฏการณ์	pr aa k o t^ t a k aa n^ 
ปรากฏการณ์	pr aa k o t^ t a k aa n^ 
ปราจีนบุรี	pr aa c ii n^ b u r ii 
ปราบ	pr aa p^ 
ปราบปราม	pr aa p^ pr aa m^ 
ปรารถนา	pr aa t^ th a n aa 
ปราศจาก	pr aa t^ s a c aa k^ 
ปราศรัย	pr aa s a j^ 
ปราสาท	pr aa s aa t^ 
ปราโมช	pr aa m oo t^ 
ปราโมทย์	pr aa m oo t^ 
ปริจเฉท	p a r i t^ ch ee t^ 
ปริญญา	p a r i n^ j aa 
ปริญญาตรี	p a r i n^ j aa tr ii 
ปริตตา	p a r i t^ t aa 
ปริมณฑล	p a r i m o n^ th o n^ 
ปริมาณ	p a r i m aa n^ 
ปริยาย	p a r i j aa j^ 
ปรีชา	pr ii ch aa 
ปรีดา	pr ii d aa 
ปรึกษา	pr v k^ s aa 
ปรุงแต่ง	pr u ng^ t x ng^ 
ปลด	pl o t^ 
ปลดเปลื้อง	pl o t^ pl vva ng^ 
ปลอด	pl @@ t^ 
ปลอดภัย	pl @@ t^ ph a j^ 
ปลอม	pl @@ m^ 
ปลัด	p a l a t^ 
ปลา	pl aa 
ปลาย	pl aa j^ 
ปลุก	pl u k^ 
ปลูก	pl uu k^ 
ปลูกฝัง	pl uu k^ f a ng^ 
ปล่อย	pl @ j^ 
ปล่อยตัว	pl @ j^ t uua 
ปวงชน	p uua ng^ ch o n^ 
ปวด	p uua t^ 
ปะปน	p a p o n^ 
ปะลิศ	p a l i t^ 
ปัจจัย	p a t^ c a j^ 
ปัจจุบัน	p a t^ c u b a n^ 
ปัจจุบันนี้	p a t^ c u b a n^ n ii 
ปัจเจกชน	p a t^ c ee k^ ch o n^ 
ปัญญา	p a n^ j aa 
ปัญญาชน	p a n^ j aa ch o n^ 
ปัญญาอ่อน	p a n^ j aa z @@ n^ 
ปัญหา	p a n^ h aa 
ปัดเป่า	p a t^ p a w^ 
ปัน	p a n^ 
ปันผล	p a n^ ph o n^ 
ปันยารชุน	p a n^ j aa r a ch u n^ 
ปั่นป่วน	p a n^ p uua n^ 
ปั้น	p a n^ 
ปาก	p aa k^ 
ปากท้อง	p aa k^ th @@ ng^ 
ปานกลาง	p aa n^ kl aa ng^ 
ปารุสกวัน	p aa r u t^ s a k a w a n^ 
ปาสคาล	p aa s^ kh aa l^ 
ปิด	p i t^ 
ปิดกั้น	p i t^ k a n^ 
ปิดบัง	p i t^ b a ng^ 
ปี	p ii 
ปีก	p ii k^ 
ปีติ	p ii t i 
ปีเตอร์ลินช์	p ii t qq l i n^ 
ปี่	p ii 
ปึกแผ่น	p v k^ ph x n^ 
ปืน	p vv n^ 
ปืนกล	p vv n^ k o n^ 
ปุถุชน	p u th u ch o n^ 
ปุ่ม	p u m^ 
ปุ๋ย	p u j^ 
ปู	p uu 
ปู่	p uu 
ป่น	p o n^ 
ป่วน	p uua n^ 
ป่วย	p uua j^ 
ป่า	p aa 
ป่าช้า	p aa ch aa 
ป่านนี้	p aa n^ n ii 
ป่าสงวน	p aa s a ng uua n^ 
ป่าไม้	p aa m a j^ 
ป่าไม้	p aa m aa j^ 
ป้องกัน	p @ ng^ k a n^ 
ป้อน	p @@ n^ 
ป้อม	p @ m^ 
ป้าย	p aa j^ 
ป๋วย	p uua j^ 
ผกผัน	ph o k^ ph a n^ 
ผจญภัย	ph a c o n^ ph a j^ 
ผนวก	ph a n uua k^ 
ผนึก	ph a n v k^ 
ผม	ph o m^ 
ผล	ph o n^ 
ผลกรรม	ph o n^ k a m^ 
ผลกระทบ	ph o n^ kr a th o p^ 
ผลงาน	ph o n^ ng aa n^ 
ผลดี	ph o n^ d ii 
ผลประโยชน์	ph o n^ pr a j oo t^ 
ผลผลิต	ph o n^ ph a l i t^ 
ผลลัพธ์	ph o n^ l a p^ 
ผลัก	phl a k^ 
ผลักดัน	phl a k^ d a n^ 
ผลัดเปลี่ยน	phl a t^ pl iia n^ 
ผลิต	ph a l i t^ 
ผลิตผล	ph a l i t^ t a ph o n^ 
ผลิตภัณฑ์	ph a l i t^ t a ph a n^ 
ผลเสีย	ph o n^ s iia 
ผลไม้	ph o n^ l a m aa j^ 
ผสม	ph a s o m^ 
ผสมผสาน	ph a s o m^ ph a s aa n^ 
ผัง	ph a ng^ 
ผังเมือง	ph a ng^ m vva ng^ 
ผัน	ph a n^ 
ผันผวน	ph a n^ ph uua n^ 
ผันแปร	ph a n^ pr xx 
ผัว	ph uua 
ผาสุก	ph aa s u k^ 
ผิด	ph i t^ 
ผิดปกติ	ph i t^ p o k^ k a t i 
ผิดพลาด	ph i t^ phl aa t^ 
ผิดหวัง	ph i t^ w a ng^ 
ผิดแผก	ph i t^ ph xx k^ 
ผิน	ph i n^ 
ผิว	ph i w^ 
ผิวหนัง	ph i w^ n a ng^ 
ผี	ph ii 
ผีสาง	ph ii s aa ng^ 
ผึ้ง	ph v ng^ 
ผืน	ph vv n^ 
ผืนผ้า	ph vv n^ ph aa 
ผุด	ph u t^ 
ผูกขาด	ph uu k^ kh aa t^ 
ผูกพัน	ph uu k^ ph a n^ 
ผู้	ph uu 
ผู้ก่อการ	ph uu k @@ k aa n^ 
ผู้คน	ph uu kh o n^ 
ผู้ชาย	ph uu ch aa j^ 
ผู้ช่วย	ph uu ch uua j^ 
ผู้นำ	ph uu n a m^ 
ผู้น้อย	ph uu n @@ j^ 
ผู้บริหาร	ph uu b @@ r i h aa n^ 
ผู้บริโภค	ph uu b @@ r i ph oo k^ 
ผู้บังคับบัญชา	ph uu b a ng^ kh a p^ b a n^ ch aa 
ผู้บัญชาการ	ph uu b a n^ ch aa k aa n^ 
ผู้ปฏิบัติงาน	ph uu p a t i b a t^ ng aa n^ 
ผู้ปฏิวัติ	ph uu p a t i w a t^ 
ผู้ประกอบการ	ph uu pr a k @@ p^ k aa n^ 
ผู้ป่วย	ph uu p uua j^ 
ผู้ผลิต	ph uu ph a l i t^ 
ผู้พิพากษา	ph uu ph i ph aa k^ s aa 
ผู้ฟัง	ph uu f a ng^ 
ผู้มีอิทธิพล	ph uu m ii z i t^ th i ph o n^ 
ผู้รับผิดชอบ	ph uu r a p^ ph i t^ ch @@ p^ 
ผู้รู้	ph uu r uu 
ผู้ร้าย	ph uu r aa j^ 
ผู้ว่า	ph uu w aa 
ผู้ว่าการ	ph uu w aa k aa n^ 
ผู้ว่าราชการ	ph uu w aa r aa t^ ch a k aa n^ 
ผู้สนับสนุน	ph uu s a n a p^ s a n u n^ 
ผู้สมัคร	ph uu s a m a k^ 
ผู้สร้าง	ph uu s aa ng^ 
ผู้สอน	ph uu s @@ n^ 
ผู้สื่อข่าว	ph uu s vv kh aa w^ 
ผู้หญิง	ph uu j i ng^ 
ผู้อำนวยการ	ph uu z a m^ n uua j^ k aa n^ 
ผู้อื่น	ph uu z vv n^ 
ผู้อ่าน	ph uu z aa n^ 
ผู้เขียน	ph uu kh iia n^ 
ผู้เข้าร่วม	ph uu kh a w^ r uua m^ 
ผู้เช่า	ph uu ch a w^ 
ผู้เรียน	ph uu r iia n^ 
ผู้แทน	ph uu th xx n^ 
ผู้โดยสาร	ph uu d oo j^ s aa n^ 
ผู้ใช้	ph uu ch a j^ 
ผู้ใช้แรงงาน	ph uu ch a j^ r xx ng^ ng aa n^ 
ผู้ใด	ph uu d a j^ 
ผู้ใหญ่	ph uu j a j^ 
ผู้ให้	ph uu h a j^ 
ผ่อน	ph @@ n^ 
ผ่อนคลาย	ph @ n^ khl aa j^ 
ผ่อนปรน	ph @ n^ pr o n^ 
ผ่าตัด	ph aa t a t^ 
ผ่าน	ph aa n^ 
ผ้า	ph aa 
ฝน	f o n^ 
ฝรั่งเศส	f a r a ng^ s ee t^ 
ฝักใฝ่	f a k^ f a j^ 
ฝัง	f a ng^ 
ฝัน	f a n^ 
ฝันเฟื่อง	f a n^ f vva ng^ 
ฝั่ง	f a ng^ 
ฝา	f aa 
ฝาก	f aa k^ 
ฝาผนัง	f aa ph a n a ng^ 
ฝิ่น	f i n^ 
ฝีมือ	f ii m vv 
ฝึก	f v k^ 
ฝึกฝน	f v k^ f o n^ 
ฝึกอบรม	f v k^ z o p^ r o m^ 
ฝืดเคือง	f vv t^ kh vva ng^ 
ฝุ่น	f u n^ 
ฝ่า	f aa 
ฝ่าฝืน	f aa f vv n^ 
ฝ่าย	f aa j^ 
ฝ่ายค้าน	f aa j^ kh aa n^ 
พ.ร.บ.	ph @@ r @@ b @@ 
พงศาวดาร	ph o ng^ s aa w a d aa n^ 
พงษ์พานิช	ph o ng^ ph aa n i t^ 
พจนา	ph o t^ c a n aa 
พนักงาน	ph a n a k^ ng aa n^ 
พบ	ph o p^ 
พบปะ	ph o p^ p a 
พยัญชนะ	ph a j a n^ ch a n a 
พยากรณ์	ph a j aa k @@ n^ 
พยาธิ	ph a j aa t^ 
พยาบาล	ph a j aa b aa n^ 
พยายาม	ph a j aa j aa m^ 
พยุง	ph a j u ng^ 
พรมแดน	phr o m^ d xx n^ 
พรรค	ph a k^ 
พรรคพวก	ph a k^ ph uua k^ 
พรรณนา	ph a n^ n a n aa 
พรสวรรค์	ph @@ n^ s a w a n^ 
พรหมสูตร	phr o m^ m a s uu t^ 
พระ	phr a 
พระจันทร์	phr a c a n^ 
พระจุลจอมเกล้า	phr a c u n^ l a c @@ m^ kl aa w^ 
พระที่นั่ง	phr a th ii n a ng^ 
พระธรรมศาสตร์	phr a th a m^ m a s aa t^ 
พระบรมราชโองการ	phr a b @@ r o m^ m a r aa t^ ch a z oo ng^ k aa n^ 
พระบรมรูป	phr a b @@ r o m^ m a r uu p^ 
พระบาท	phr a b aa t^ 
พระบาทสมเด็จ	phr a b aa t^ s o m^ d e t^ 
พระผู้มีพระภาคเจ้า	phr a ph uu m ii phr a ph aa k^ c aa w^ 
พระพุทธรูป	phr a ph u t^ th a r uu p^ 
พระพุทธศาสนา	phr a ph u t^ th a s aa t^ s a n aa 
พระพุทธองค์	phr a ph u t^ th a z o ng^ 
พระพุทธเจ้า	phr a ph u t^ th a c a w^ 
พระพุทธเจ้า	phr a ph u t^ th a c aa w^ 
พระภิกษุ	phr a ph i k^ s u 
พระมหากษัตริย์	phr a m a h aa k a s a t^ 
พระยา	phr a j aa 
พระราชดำรัส	phr a r aa t^ ch a d a m^ r a t^ 
พระราชดำริ	phr a r aa t^ ch a d a m^ r i 
พระราชทาน	phr a r aa t^ ch a th aa n^ 
พระราชบัญญัติ	phr a r aa t^ ch a b a n^ j a t^ 
พระราชพิธี	phr a r aa t^ ch a ph i th ii 
พระราชวัง	phr a r aa t^ ch a w a ng^ 
พระราชวินิจฉัย	phr a r aa t^ ch a w i n i t^ ch a j^ 
พระราชอำนาจ	phr a r aa t^ ch a z a m^ n aa t^ 
พระราชาคณะ	phr a r aa ch aa kh a n a 
พระสงฆ์	phr a s o ng^ 
พระองค์	phr a z o ng^ 
พระอาทิตย์	phr a z aa th i t^ 
พระเกียรติ	phr a k iia t^ 
พระเจ้า	phr a c a w^ 
พระเจ้า	phr a c aa w^ 
พระเจ้าอยู่หัว	phr a c aa w^ j uu h uua 
พระเชตุพน	phr a ch ee t u ph o n^ 
พระเยซู	phr a j ee s uu 
พระเยาว์	phr a j a w^ 
พระเวท	phr a w ee t^ 
พระเอก	phr a z ee k^ 
พราก	phr aa k^ 
พราหมณ์	phr aa m^ 
พริกไทย	phr i k^ th a j^ 
พร้อม	phr @@ m^ 
พร้อมกัน	phr @@ m^ k a n^ 
พร้อมกับ	phr @@ m^ k a p^ 
พร้อมทั้ง	phr @@ m^ th a ng^ 
พร้อมใจ	phr @@ m^ c a j^ 
พฤติกรรม	phr v t^ t i k a m^ 
พฤติการณ์	phr v t^ t i k aa n^ 
พฤตินัย	phr v t^ t i n a j^ 
พฤศจิกายน	phr v t^ s a c i k aa j o n^ 
พฤษภาคม	phr v t^ s a ph aa kh o m^ 
พฤหัสบดี	ph a r v h a t^ s a b @@ d ii 
พล	ph o n^ 
พลตรี	ph o n^ tr ii 
พลตำรวจ	ph o n^ t a m^ r uua t^ 
พลตำรวจเอก	ph o n^ t a m^ r uua t^ z ee k^ 
พลพรรค	ph o n^ l a ph a k^ 
พลวัตร	ph o n^ l a w a t^ 
พลสิน	ph o n^ s i n^ 
พลอย	phl @@ j^ 
พลอากาศ	ph o n^ z aa k aa t^ 
พลอากาศเอก	ph o n^ z aa k aa t^ z ee k^ 
พละ	ph a l a 
พละกำลัง	ph a l a k a m^ l a ng^ 
พลัง	ph a l a ng^ 
พลังงาน	ph a l a ng^ ng aa n^ 
พลังน้ำ	ph a l a ng^ n aa m^ 
พลัดพราก	phl a t^ phr aa k^ 
พลาง	phl aa ng^ 
พลาด	phl aa t^ 
พลานามัย	ph a l aa n aa m a j^ 
พลาสติก	phl aa s^ t i k^ 
พลิก	phl i k^ 
พลเมือง	ph o n^ l a m vva ng^ 
พลเรือน	ph o n^ l a r vva n^ 
พลเรือเอก	ph o n^ r vva z ee k^ 
พลเอก	ph o n^ z ee k^ 
พวก	ph uua k^ 
พวกเขา	ph uua k^ kh a w^ 
พวกเรา	ph uua k^ r a w^ 
พวง	ph uua ng^ 
พวน	ph uua n^ 
พอ	ph @@ 
พอควร	ph @@ kh uua n^ 
พอจะ	ph @@ c a 
พอดี	ph @@ d ii 
พอเพียง	ph @@ ph iia ng^ 
พอใจ	ph @@ c a j^ 
พะวง	ph a w o ng^ 
พัก	ph a k^ 
พักผ่อน	ph a k^ ph @ n^ 
พัง	ph a ng^ 
พังพอน	ph a ng^ ph @@ n^ 
พัฒนา	ph a t^ th a n aa 
พัฒนาการ	ph a t^ th a n aa k aa n^ 
พัด	ph a t^ 
พัน	ph a n^ 
พันธบัตร	ph a n^ th a b a t^ 
พันธมิตร	ph a n^ th a m i t^ 
พันธะ	ph a n^ th a 
พันธุกรรม	ph a n^ th u k a m^ 
พันธุวิศวกรรม	ph a n^ th u w i t^ s a w a k a m^ 
พันธุ์	p a n^ 
พันธุ์	ph a n^ 
พันเอก	ph a n^ z ee k^ 
พันโท	ph a n^ th oo 
พับ	ph a p^ 
พัวพัน	ph uua ph a n^ 
พา	ph aa 
พาณิชยกรรม	ph aa n i t^ ch a j a k a m^ 
พาณิชย์	ph aa n i t^ 
พาย	ph aa j^ 
พายุ	ph aa j u 
พาหะ	ph aa h a 
พำนัก	ph a m^ n a k^ 
พิการ	ph i k aa n^ 
พิจารณา	ph i c aa r a n aa 
พิชิต	ph i ch i t^ 
พิทักษ์	ph i th a k^ 
พิธี	ph i th ii 
พิธีกร	ph i th ii k @@ n^ 
พิธีกรรม	ph i th ii k a m^ 
พิธีการ	ph i th ii k aa n^ 
พิธีรีตอง	ph i th ii r ii t @@ ng^ 
พินิจ	ph i n i t^ 
พิบูล	ph i b uu n^ 
พิบูลสงคราม	ph i b uu n^ s o ng^ khr aa m^ 
พิพัฒน์เสรีธรรม	ph i ph a t^ s ee r ii th a m^ 
พิพากษา	ph i ph aa k^ s aa 
พิพาท	ph i ph aa t^ 
พิพิธภัณฑสถาน	ph i ph i t^ th a ph a n^ th a s a th aa n^ 
พิพิธภัณฑ์	ph i ph i t^ th a ph a n^ 
พิมพ์	ph i m^ 
พิมพ์ดีด	ph i m^ d ii t^ 
พิมพ์ใจ	ph i m^ c a j^ 
พิษ	ph i t^ 
พิษณุโลก	ph i t^ s a n u l oo k^ 
พิสดาร	ph i t^ s a d aa n^ 
พิสัย	ph i s a j^ 
พิสูจน์	ph i s uu t^ 
พิเคราะห์	ph i khr @ 
พิเศษ	ph i s ee t^ 
พี	ph ii 
พีระศรี	ph ii r a s ii 
พี่	ph ii 
พี่เลี้ยง	ph ii l iia ng^ 
พึง	ph v ng^ 
พึงประสงค์	ph v ng^ pr a s o ng^ 
พึงปรารถนา	ph v ng^ pr aa t^ th a n aa 
พึงพอใจ	ph v ng^ ph @@ c a j^ 
พึ่ง	ph v ng^ 
พึ่งพา	ph v ng^ ph aa 
พึ่งพิง	ph v ng^ ph i ng^ 
พืช	ph vv t^ 
พืชพันธุ์	ph vv t^ ph a n^ 
พื้น	ph vv n^ 
พื้นฐาน	ph vv n^ th aa n^ 
พื้นดิน	ph vv n^ d i n^ 
พื้นที่	ph vv n^ th ii 
พื้นบ้าน	ph vv n^ b aa n^ 
พื้นเพ	ph vv n^ ph ee 
พื้นเมือง	ph vv n^ m vva ng^ 
พุทธ	ph u t^ 
พุทธทาส	ph u t^ th a th aa t^ 
พุทธธรรม	ph u t^ th a th a m^ 
พุทธบริษัท	ph u t^ th a b @@ r i s a t^ 
พุทธประวัติ	ph u t^ th a pr a w a t^ 
พุทธศตวรรษ	ph u t^ th a s a t^ t a w a t^ 
พุทธศตวรรษ	ph u t^ th a s a t a w a t^ 
พุทธศักราช	ph u t^ th a s a k^ k a r aa t^ 
พุทธศาสนา	ph u t^ th a s aa t^ s a n aa 
พุธ	ph u t^ 
พุ่ง	ph u ng^ 
พุ่มข้าวบิณฑ์	ph u m^ kh aa w^ b i n^ 
พูด	ph uu t^ 
พูดคุย	ph uu t^ kh u j^ 
พูดจา	ph uu t^ c aa 
พ่วง	ph uua ng^ 
พ่อ	ph @@ 
พ่อขุน	ph @@ kh u n^ 
พ่อค้า	ph @@ kh aa 
พ่อตา	ph @@ t aa 
พ่าย	ph aa j^ 
พ่ายแพ้	ph aa j^ ph xx 
พ้น	ph o n^ 
พ้อง	ph @@ ng^ 
ฟรอยด์	fr @@ j^ 
ฟรี	fr ii 
ฟอร์แทรน	f @@ thr xx n^ 
ฟัง	f a ng^ 
ฟาก	f aa k^ 
ฟาง	f aa ng^ 
ฟาฟิลอฟ	f aa f i l @@ p^ 
ฟิลิปปินส์	f i l i p^ p i n^ 
ฟิลิปส์	f i l i p^ 
ฟื้น	f vv n^ 
ฟื้นฟู	f vv n^ f uu 
ฟุ่มเฟือย	f u m^ f vva j^ 
ฟูคูดะ	f uu kh uu d a 
ฟ้อง	f @@ ng^ 
ฟ้องร้อง	f @@ ng^ r @@ ng^ 
ฟ้า	f aa 
ฟ้าผ่า	f aa ph aa 
ภพ	ph o p^ 
ภยันตราย	ph a j a n^ t a r aa j^ 
ภรรยา	ph a n^ r a j aa 
